nom_poblacio;comarca;altitud;poblacio
Passanant i Belltall;Conca de Barberà;714;170
Pau;Alt Empordà;33;579
Paüls;Baix Ebre;378;566
Pedret i Marzà;Alt Empordà;22;181
Penelles;Noguera;276;430
Pera, la;Baix Empordà;93;438
Perafita;Osona;754;418
Perafort;Tarragonès;125;1292
Peralada;Alt Empordà;32;1974
Peramola;Alt Urgell;566;348
Perelló, el;Baix Ebre;142;2885
Piera;Anoia;324;16787
Piles, les;Conca de Barberà;676;224
Pineda de Mar;Maresme;10;28083
Pinell de Brai, el;Terra Alta;189;1000
Pinell de Solsonès;Solsonès;800;190
Pinós;Solsonès;823;291
Pira;Conca de Barberà;385;489
Pla de Santa Maria, el;Alt Camp;381;2340
Pla del Penedès, el;Alt Penedès;216;1335
Planes d'Hostoles, les;Garrotxa;370;1745
Planoles;Ripollès;1136;307
Plans de Sió, els;Segarra;412;490
Poal, el;Pla d'Urgell;216;667
Pobla de Cérvoles, la;Garrigues;663;209
Pobla de Claramunt, la;Anoia;265;2275
Pobla de Lillet, la;Berguedà;843;1079
Pobla de Mafumet, la;Tarragonès;98;4052
Pobla de Massaluca, la;Terra Alta;357;340
Pobla de Montornès, la;Tarragonès;56;3101
Pobla de Segur, la;Pallars Jussà;524;3055
Poboleda;Priorat;343;327
Polinyà;Vallès Occidental;123;8451
Pont d'Armentera, el;Alt Camp;349;492
Pont de Bar, el;Alt Urgell;861;163
Pont de Molins;Alt Empordà;43;542
Pont de Suert, el;Alta Ribagorça;838;2336
Pont de Vilomara i Rocafort, el;Bages;202;4024
Pontils;Conca de Barberà;551;133
Pontons;Alt Penedès;584;507
Pontós;Alt Empordà;94;274
Ponts;Noguera;363;2661
Porqueres;Pla de l'Estany;148;4712
Porrera;Priorat;316;429
Port de la Selva, el;Alt Empordà;12;1015
Portbou;Alt Empordà;28;1090
Portella, la;Segrià;259;718
Pradell de la Teixeta;Priorat;463;172
Prades;Baix Camp;950;625
Prat de Comte;Terra Alta;363;186
Prat de Llobregat, el;Baix Llobregat;8;65030
Pratdip;Baix Camp;245;693
Prats de Lluçanès;Osona;707;2627
Prats de Rei, els;Anoia;608;554
Prats i Sansor;Cerdanya;1124;260
Preixana;Urgell;328;404
Preixens;Noguera;315;422
Premià de Dalt;Maresme;142;10400
Premià de Mar;Maresme;8;28518
Preses, les;Garrotxa;474;1875
Prullans;Cerdanya;1096;264
Puigcerdà;Cerdanya;1202;9484
Puigdàlber;Alt Penedès;239;555
Puiggròs;Garrigues;334;257
Puigpelat;Alt Camp;252;1199
Puig-reig;Berguedà;455;4327
Puigverd d'Agramunt;Urgell;366;253
Puigverd de Lleida;Segrià;219;1398
Pujalt;Anoia;770;204
Quar, la;Berguedà;885;47
Quart;Gironès;91;3906
Queralbs;Ripollès;1236;191
Querol;Alt Camp;565;572
Rabós;Alt Empordà;106;210
Rajadell;Bages;361;545
Ràpita, la;Montsià;11;14767
Rasquera;Ribera d'Ebre;174;822
Regencós;Baix Empordà;78;271
Rellinars;Vallès Occidental;322;915
Renau;Tarragonès;175;152
Reus;Baix Camp;117;106741
Rialp;Pallars Sobirà;725;675
Riba, la;Alt Camp;263;552
Riba-roja d'Ebre;Ribera d'Ebre;76;1131
Ribera d'Ondara;Segarra;570;441
Ribera d'Urgellet;Alt Urgell;702;920
Ribes de Freser;Ripollès;912;1810
Riells i Viabrea;Selva;96;4279
Riera de Gaià, la;Tarragonès;28;1752
Riner;Solsonès;830;280
Ripoll;Ripollès;691;10641
Ripollet;Vallès Occidental;79;39031
Riu de Cerdanya;Cerdanya;1173;100
Riudarenes;Selva;84;2337
Riudaura;Garrotxa;572;511
Riudecanyes;Baix Camp;195;1279
Riudecols;Baix Camp;299;1198
Riudellots de la Selva;Selva;98;2072
Riudoms;Baix Camp;125;6721
Riumors;Alt Empordà;7;244
Roca del Vallès, la;Vallès Oriental;123;10776
Rocafort de Queralt;Conca de Barberà;566;241
Roda de Berà;Tarragonès;57;7591
Roda de Ter;Osona;443;6555
Rodonyà;Alt Camp;312;506
Roquetes;Baix Ebre;14;8193
Roses;Alt Empordà;5;19907
Rosselló;Segrià;252;3278
Rourell, el;Alt Camp;114;395
Rubí;Vallès Occidental;123;79007
Rubió;Anoia;629;244
Rupià;Baix Empordà;66;300
Rupit i Pruit;Osona;822;279
Sabadell;Vallès Occidental;190;215760
Sagàs;Berguedà;738;157
Salàs de Pallars;Pallars Jussà;573;345
Saldes;Berguedà;1215;298
Sales de Llierca;Garrotxa;260;169
Sallent;Bages;278;6805
Salomó;Tarragonès;165;543
Salou;Tarragonès;2;29028
Salt;Gironès;83;32517
Sanaüja;Segarra;409;392
Sant Adrià de Besòs;Barcelonès;14;36918
Sant Agustí de Lluçanès;Osona;816;100
Sant Andreu de la Barca;Baix Llobregat;42;26965
Sant Andreu de Llavaneres;Maresme;114;11593
Sant Andreu Salou;Gironès;132;162
Sant Aniol de Finestres;Garrotxa;289;363
Sant Antoni de Vilamajor;Vallès Oriental;258;6483
Sant Bartomeu del Grau;Osona;868;924
Sant Boi de Llobregat;Baix Llobregat;30;83371
Sant Boi de Lluçanès;Osona;813;575
Sant Cebrià de Vallalta;Maresme;71;3619
Sant Celoni;Vallès Oriental;152;18285
Sant Climent de Llobregat;Baix Llobregat;87;4170
Sant Climent Sescebes;Alt Empordà;86;696
Sant Cugat del Vallès;Vallès Occidental;124;95725
Sant Cugat Sesgarrigues;Alt Penedès;266;1009
Sant Esteve de la Sarga;Pallars Jussà;875;123
Sant Esteve de Palautordera;Vallès Oriental;231;3043
Sant Esteve Sesrovires;Baix Llobregat;183;7889
Sant Feliu de Buixalleu;Selva;402;839
Sant Feliu de Codines;Vallès Oriental;480;6460
Sant Feliu de Guíxols;Baix Empordà;4;22149
Sant Feliu de Llobregat;Baix Llobregat;25;45642
Sant Feliu de Pallerols;Garrotxa;473;1495
Sant Feliu Sasserra;Bages;617;611
Sant Ferriol;Garrotxa;146;256
Sant Fost de Campsentelles;Vallès Oriental;112;9064
Sant Fruitós de Bages;Bages;247;9025
Sant Gregori;Gironès;112;4085
Sant Guim de Freixenet;Segarra;738;1120
Sant Guim de la Plana;Segarra;556;182
Sant Hilari Sacalm;Selva;803;5836
Sant Hipòlit de Voltregà;Osona;536;3644
Sant Iscle de Vallalta;Maresme;129;1433
Sant Jaume d'Enveja;Montsià;7;3669
Sant Jaume de Frontanyà;Berguedà;1072;31
Sant Jaume de Llierca;Garrotxa;203;842
Sant Jaume dels Domenys;Baix Penedès;213;2695
Sant Joan de les Abadesses;Ripollès;773;3274
Sant Joan de Mollet;Gironès;54;515
Sant Joan de Vilatorrada;Bages;277;10820
Sant Joan Despí;Baix Llobregat;10;34039
Sant Joan les Fonts;Garrotxa;342;3054
Sant Jordi Desvalls;Gironès;57;830
Sant Julià de Cerdanyola;Berguedà;954;241
Sant Julià de Ramis;Gironès;128;3623
Sant Julià de Vilatorta;Osona;600;3193
Sant Julià del Llor i Bonmatí;Selva;160;1347
Sant Just Desvern;Baix Llobregat;122;19806
Sant Llorenç d'Hortons;Alt Penedès;196;2503
Sant Llorenç de la Muga;Alt Empordà;173;267
Sant Llorenç de Morunys;Solsonès;925;1000
Sant Llorenç Savall;Vallès Occidental;466;2524
Sant Martí d'Albars;Osona;629;119
Sant Martí de Centelles;Osona;404;1232
Sant Martí de Llémena;Gironès;256;679
Sant Martí de Riucorb;Urgell;409;646
Sant Martí de Tous;Anoia;465;1243
Sant Martí Sarroca;Alt Penedès;291;3313
Sant Martí Sesgueioles;Anoia;646;361
Sant Martí Vell;Gironès;65;261
Sant Mateu de Bages;Bages;569;628
Sant Miquel de Campmajor;Pla de l'Estany;217;239
Sant Miquel de Fluvià;Alt Empordà;28;808
Sant Mori;Alt Empordà;51;159
Sant Pau de Segúries;Ripollès;867;732
Sant Pere de Ribes;Garraf;44;31688
Sant Pere de Riudebitlles;Alt Penedès;246;2404
Sant Pere de Torelló;Osona;621;2514
Sant Pere de Vilamajor;Vallès Oriental;305;4815
Sant Pere Pescador;Alt Empordà;5;2079
Sant Pere Sallavinera;Anoia;588;167
Sant Pol de Mar;Maresme;15;5680
